Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_45,VGND,li1,26.6800,76.1600,0.000244
FILLER_24_35,VGND,li1,21.8500,76.1600,0.000202
FILLER_24_29,VGND,li1,20.2400,76.1600,0.000207
FILLER_24_24,VGND,li1,17.4800,76.1600,0.000210
FILLER_24_3,VGND,li1,7.5900,76.1600,0.000216
FILLER_23_251,VGND,li1,121.6700,76.1600,0.001143
FILLER_23_225,VGND,li1,111.7800,76.1600,0.001130
FILLER_23_202,VGND,li1,98.9000,76.1600,0.001078
FILLER_23_139,VGND,li1,69.6900,76.1600,0.000857
FILLER_23_122,VGND,li1,61.8700,76.1600,0.000783
FILLER_23_63,VGND,li1,34.7300,76.1600,0.000388
FILLER_23_57,VGND,li1,33.1200,76.1600,0.000331
FILLER_23_46,VGND,li1,26.9100,76.1600,0.000244
FILLER_23_23,VGND,li1,16.5600,76.1600,0.000210
FILLER_23_3,VGND,li1,7.8200,76.1600,0.000216
FILLER_22_253,VGND,li1,122.8200,70.7200,0.001262
FILLER_22_250,VGND,li1,120.9800,70.7200,0.001262
FILLER_22_242,VGND,li1,118.6800,70.7200,0.001262
FILLER_22_226,VGND,li1,112.2400,70.7200,0.001252
FILLER_22_214,VGND,li1,106.7200,70.7200,0.001238
FILLER_22_197,VGND,li1,96.8300,70.7200,0.001205
FILLER_22_174,VGND,li1,86.0200,70.7200,0.001150
FILLER_22_154,VGND,li1,76.5900,70.7200,0.001077
FILLER_22_150,VGND,li1,75.4400,70.7200,0.001077
FILLER_22_114,VGND,li1,59.3400,70.7200,0.000890
FILLER_22_102,VGND,li1,55.2000,70.7200,0.000795
FILLER_22_85,VGND,li1,44.8500,70.7200,0.000628
FILLER_22_76,VGND,li1,42.3200,70.7200,0.000590
FILLER_22_66,VGND,li1,36.1100,70.7200,0.000444
FILLER_22_47,VGND,li1,27.8300,70.7200,0.000316
FILLER_22_29,VGND,li1,19.3200,70.7200,0.000238
FILLER_22_24,VGND,li1,17.4800,70.7200,0.000242
FILLER_22_7,VGND,li1,8.9700,70.7200,0.000246
FILLER_22_3,VGND,li1,7.8200,70.7200,0.000246
FILLER_21_256,VGND,li1,123.5100,70.7200,0.001262
FILLER_21_252,VGND,li1,122.3600,70.7200,0.001262
FILLER_21_222,VGND,li1,108.1000,70.7200,0.001238
FILLER_21_210,VGND,li1,104.8800,70.7200,0.001233
FILLER_21_181,VGND,li1,89.0100,70.7200,0.001165
FILLER_21_169,VGND,li1,83.4900,70.7200,0.001136
